01-07-2016 18:06:03.013 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 0
01-07-2016 18:06:05.293 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 0
01-07-2016 18:06:05.346 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 0
01-07-2016 18:06:05.618 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 0
01-07-2016 18:06:05.674 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 1
01-07-2016 18:06:05.716 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 1
01-07-2016 18:06:05.718 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 1
01-07-2016 18:06:07.631 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 3
01-07-2016 18:06:07.679 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 3
01-07-2016 18:06:07.725 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 2
01-07-2016 18:06:09.568 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 3
01-07-2016 18:06:09.612 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:09.672 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 2
01-07-2016 18:06:09.939 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:09.982 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:10.025 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:10.189 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 3, SHEEP: 0, CORN: 4
01-07-2016 18:06:10.233 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 3, SHEEP: 0, CORN: 4
01-07-2016 18:06:10.274 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 2
01-07-2016 18:06:10.311 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 2
01-07-2016 18:06:10.633 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 3
01-07-2016 18:06:10.682 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 2, SHEEP: 0, CORN: 3
01-07-2016 18:06:10.722 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 2, SHEEP: 0, CORN: 3
01-07-2016 18:06:10.964 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:11.007 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:11.048 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:11.090 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 2, SHEEP: 0, CORN: 4
01-07-2016 18:06:11.131 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 4
01-07-2016 18:06:11.301 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 4
